STEP,POPULATION,HEALTHY,VACCINATED HEALTHY,UNVACCINATED HEALTHY,INFECTED,VACCINATED INFECTED,UNVACCINATED INFECTED,DEATHS FROM INFECTION,DEATHS VACCINATED,DEATHS UNVACCINATED
164,14137,8333,7517,816,5804,40,5764,994,9,985
165,14129,8316,7516,800,5813,41,5772,1002,9,993
166,14118,8307,7518,789,5811,39,5772,1013,9,1004
167,14110,8300,7518,782,5810,39,5771,1021,9,1012
168,14100,8309,7520,789,5791,37,5754,1031,9,1022
169,14094,8313,7522,791,5781,35,5746,1037,9,1028
170,14087,8291,7522,769,5796,35,5761,1044,9,1035
171,14078,8319,7521,798,5759,36,5723,1053,9,1044
172,14072,8294,7521,773,5778,36,5742,1059,9,1050
173,14066,8269,7519,750,5797,37,5760,1065,10,1055
174,14059,8270,7520,750,5789,35,5754,1072,11,1061
175,14052,8251,7518,733,5801,37,5764,1079,11,1068
176,14046,8255,7519,736,5791,36,5755,1085,11,1074
177,14040,8224,7519,705,5816,35,5781,1091,12,1079
178,14032,8231,7519,712,5801,35,5766,1099,12,1087
179,14028,8217,7518,699,5811,36,5775,1103,12,1091
180,14018,8207,7520,687,5811,34,5777,1113,12,1101
181,14007,8210,7520,690,5797,34,5763,1124,12,1112
182,13998,8204,7519,685,5794,35,5759,1133,12,1121
183,13988,8213,7523,690,5775,30,5745,1143,13,1130
184,13981,8223,7522,701,5758,31,5727,1150,13,1137
185,13975,8224,7521,703,5751,32,5719,1156,13,1143
186,13969,8239,7522,717,5730,31,5699,1162,13,1149
187,13959,8218,7525,693,5741,26,5715,1172,15,1157
188,13952,8205,7526,679,5747,25,5722,1179,15,1164
189,13944,8193,7525,668,5751,26,5725,1187,15,1172
190,13937,8193,7526,667,5744,25,5719,1194,15,1179
191,13934,8187,7523,664,5747,28,5719,1197,15,1182
192,13926,8199,7522,677,5727,29,5698,1205,15,1190
193,13919,8181,7520,661,5738,31,5707,1212,15,1197
194,13913,8195,7519,676,5718,32,5686,1218,15,1203
195,13910,8182,7520,662,5728,31,5697,1221,15,1206
196,13899,8180,7518,662,5719,32,5687,1232,16,1216
197,13895,8162,7517,645,5733,33,5700,1236,16,1220
