STEP,POPULATION,HEALTHY,SOCIAL D HEALTHY,NOT SOCIAL D HEALTHY,INFECTED,SOCIAL D INFECTED,NOT SOCIAL D INFECTED,DEATHS FROM INFECTION,DEATHS SOCIAL D,DEATHS NOT SOCIAL D
147,14272,8295,7531,764,5977,41,5936,761,6,755
148,14266,8275,7530,745,5991,42,5949,767,6,761
149,14260,8255,7528,727,6005,44,5961,773,6,767
150,14253,8238,7528,710,6015,44,5971,780,6,774
151,14245,8230,7525,705,6015,47,5968,788,6,782
152,14238,8188,7524,664,6050,48,6002,795,6,789
153,14225,8175,7522,653,6050,50,6000,808,6,802
154,14220,8152,7523,629,6068,49,6019,813,6,807
155,14214,8160,7522,638,6054,50,6004,819,6,813
156,14203,8139,7523,616,6064,49,6015,830,6,824
157,14189,8129,7522,607,6060,50,6010,844,6,838
158,14179,8129,7521,608,6050,51,5999,854,6,848
159,14175,8103,7520,583,6072,52,6020,858,6,852
160,14167,8114,7520,594,6053,52,6001,866,6,860
161,14157,8089,7516,573,6068,56,6012,876,6,870
162,14153,8097,7515,582,6056,57,5999,880,6,874
163,14147,8122,7517,605,6025,55,5970,886,6,880
164,14138,8076,7519,557,6062,53,6009,895,6,889
165,14133,8052,7520,532,6081,52,6029,900,6,894
166,14124,8050,7518,532,6074,54,6020,909,6,903
167,14115,8057,7518,539,6058,54,6004,918,6,912
168,14108,8054,7518,536,6054,54,6000,925,6,919
169,14098,8069,7516,553,6029,56,5973,935,6,929
170,14090,8072,7515,557,6018,57,5961,943,6,937
171,14083,8050,7518,532,6033,54,5979,950,6,944
172,14074,8059,7522,537,6015,50,5965,959,6,953
173,14068,8080,7522,558,5988,50,5938,965,6,959
174,14065,8107,7524,583,5958,48,5910,968,6,962
175,14060,8088,7522,566,5972,50,5922,973,6,967
176,14050,8083,7525,558,5967,47,5920,983,6,977
177,14046,8070,7526,544,5976,46,5930,987,6,981
178,14038,8096,7526,570,5942,46,5896,995,6,989
179,14032,8102,7525,577,5930,46,5884,1001,7,994
180,14026,8111,7528,583,5915,43,5872,1007,7,1000
181,14019,8109,7525,584,5910,46,5864,1014,7,1007
182,14010,8091,7525,566,5919,46,5873,1023,7,1016
183,14003,8066,7525,541,5937,46,5891,1030,7,1023
184,13994,8083,7525,558,5911,46,5865,1039,7,1032
185,13987,8092,7526,566,5895,45,5850,1046,7,1039
186,13981,8086,7529,557,5895,42,5853,1052,7,1045
187,13978,8086,7531,555,5892,40,5852,1055,7,1048
188,13970,8093,7533,560,5877,38,5839,1063,7,1056
189,13964,8080,7532,548,5884,39,5845,1069,7,1062
